,Unnamed: 0,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
13,6761,JB371206,nan,2018-07-30 09:35:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,07/30/2018 09:40:00 AM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,320,W,LAKE ST,122,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9,2,7,41.88584441,-87.635998781,POINT (-87.63599878116 41.885844409811)
14,6877,JB370720,nan,2018-07-29 20:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,UNKNOWN,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/29/2018 08:40:00 PM,IMPROPER LANE USAGE,IMPROPER TURNING/NO SIGNAL,100,S,COLUMBUS DR,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,1,7,41.880805655,-87.620934992,POINT (-87.620934991819 41.880805655312)
15,6928,JB370460,nan,2018-07-29 16:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,OTHER,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/29/2018 04:05:00 PM,DISREGARDING TRAFFIC SIGNALS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,100,E,ILLINOIS ST,1834,,,,,,,3.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,8.0,0.0,16,1,7,41.891024513000005,-87.625290151,POINT (-87.625290150715 41.891024513358)
16,6943,JB370899,nan,2018-07-29 15:00:00,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,4.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/29/2018 11:30:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,63,E,WASHINGTON ST,112,,,,,,,3.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15,1,7,41.883112136,-87.625584016,POINT (-87.625584016344 41.883112136437)
17,6945,JB370377,N,2018-07-29 15:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/29/2018 03:21:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,628,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,1,7,41.873961037,-87.630804452,POINT (-87.630804452287 41.873961036971)
18,6974,JB370262,nan,2018-07-29 13:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/29/2018 02:15:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,98,N,MICHIGAN AVE,112,,,,,,,3.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13,1,7,41.883171112,-87.624544017,POINT (-87.624544016816 41.883171112015)
21,6996,JB370249,nan,2018-07-29 12:50:00,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HEAD ON,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/29/2018 02:06:00 PM,IMPROPER BACKING,FAILING TO YIELD RIGHT-OF-WAY,370,N,DESPLAINES ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,1,7,41.888918174000004,-87.644477973,POINT (-87.64447797293 41.88891817356)
22,7036,JB370270,nan,2018-07-29 10:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/29/2018 02:20:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,100,W,CONGRESS PKWY,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,1,7,41.875719415,-87.63076280799999,POINT (-87.63076280757 41.875719414832)
23,7095,JB369777,nan,2018-07-29 01:27:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/29/2018 02:02:00 AM,IMPROPER LANE USAGE,NOT APPLICABLE,300,W,WASHINGTON ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,1,7,41.883314911999996,-87.63541603600002,POINT (-87.635416036381 41.883314912259)
24,7114,JB369715,nan,2018-07-29 00:26:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/29/2018 12:29:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,66,W,KINZIE ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,7,41.889328594,-87.630547851,POINT (-87.630547850953 41.889328593567)
25,7115,JB369749,nan,2018-07-29 00:22:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/29/2018 12:53:00 AM,IMPROPER TURNING/NO SIGNAL,IMPROPER LANE USAGE,525,N,WELLS ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,7,41.891549769,-87.633920367,POINT (-87.633920366606 41.891549768604)
26,7116,JB369745,nan,2018-07-29 00:15:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/29/2018 01:00:00 AM,IMPROPER BACKING,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",601,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,7,41.874466671,-87.63052679799999,POINT (-87.630526797909 41.874466671099)
27,7140,JB369665,nan,2018-07-28 22:28:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/28/2018 10:32:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,61,W,LOWER WACKER DR,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,7,41.886679338,-87.630217588,POINT (-87.630217588062 41.886679338459)
28,7149,JB371312,nan,2018-07-28 21:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",07/30/2018 10:30:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,430,N,KINGSBURY ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,7,7,41.889794653,-87.63867919799999,POINT (-87.63867919805 41.889794653264)
30,7171,JB369500,nan,2018-07-28 20:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,,"$501 - $1,500",07/28/2018 08:20:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,520,N,DEARBORN ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20,7,7,41.891601285,-87.629796705,POINT (-87.629796705231 41.891601284754)
31,7175,JB369475,nan,2018-07-28 19:20:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/28/2018 07:28:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,361,N,HALSTED ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,7,7,41.888551928000005,-87.64741834600002,POINT (-87.647418346008 41.888551927614)
32,7204,JB369348,nan,2018-07-28 17:50:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/28/2018 06:13:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,199,S,HALSTED ST,1232,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,7,7,41.879283701,-87.647135644,POINT (-87.64713564422 41.879283701455)
33,7206,JB369383,nan,2018-07-28 17:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/28/2018 06:51:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,661,W,LAKE ST,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,7.0,0.0,17,7,7,41.88558234,-87.645318316,POINT (-87.645318315992 41.885582339741)
34,7225,JB369277,nan,2018-07-28 16:50:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/28/2018 05:25:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,700,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,7,7,41.873310733000004,-87.63078781600002,POINT (-87.63078781601 41.873310733251)
36,7244,JB369176,nan,2018-07-28 15:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/28/2018 04:00:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,515,N,WELLS ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,7,7,41.891332278,-87.633914012,POINT (-87.633914012027 41.891332277752)
37,7248,JB369198,nan,2018-07-28 15:15:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/28/2018 04:17:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,499,N,WELLS ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15,7,7,41.890747588,-87.63390129700001,POINT (-87.633901297155 41.890747587896)
38,7251,JB369158,nan,2018-07-28 15:15:00,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,4.0,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/28/2018 03:40:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,800,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,7,7,41.872164396,-87.630755777,POINT (-87.630755776917 41.872164396052)
39,7252,JB370062,nan,2018-07-28 14:55:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/29/2018 11:00:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,322,N,MICHIGAN AVE,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,7,7,41.887332176,-87.624696238,POINT (-87.624696237579 41.887332175638)
42,7268,JB369068,nan,2018-07-28 14:06:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,07/28/2018 02:30:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,222,S,RIVERSIDE PLZ,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,7,7,41.878581561,-87.638578668,POINT (-87.638578668106 41.878581560721)
43,7304,JB368961,nan,2018-07-28 12:27:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/28/2018 12:30:00 PM,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER OVERTAKING/PASSING,33,S,JEFFERSON ST,121,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12,7,7,41.88077386,-87.642479353,POINT (-87.642479352557 41.880773860174)
44,7339,JB369876,nan,2018-07-28 10:30:00,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/29/2018 05:00:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,505,N,STATE ST,1834,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,7,7,41.891055241,-87.627897629,POINT (-87.627897629349 41.891055241472)
45,7350,JB369100,nan,2018-07-28 09:30:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/28/2018 03:00:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,300,W,ADAMS ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9,7,7,41.879477859,-87.63531102600002,POINT (-87.635311025689 41.879477859443)
46,7376,JB368672,nan,2018-07-28 07:40:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/28/2018 08:21:00 AM,DRIVING ON WRONG SIDE/WRONG WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,340,N,COLUMBUS DR,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,7,7,41.887910042,-87.620803561,POINT (-87.620803560575 41.887910041818)
47,7396,JB368586,nan,2018-07-28 03:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/28/2018 03:50:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,516,S,STATE ST,123,,,,,,,1.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,7,7,41.875314662,-87.627766849,POINT (-87.62776684925 41.875314661565)
